        0.12062    0.3273872592143917E+03
        0.17035    0.2563684579999591E+03
        0.24060    0.1946703703108626E+03
        0.33981    0.1449088906653736E+03
        0.47993    0.1094265486990161E+03
        0.67784    0.8145501376575227E+02
        0.95734    0.6133581637996803E+02
        1.35210    0.4650173079639112E+02
        1.90965    0.3640391249979014E+02
        2.69709    0.2896515435858779E+02
        3.80924    0.2266880545061356E+02
        5.37999    0.1765894790376502E+02
        7.59843    0.1328702917491497E+02
       10.73165    0.9518733353223265E+01
       15.15686    0.6451548303095437E+01
       21.40682    0.4120545838666656E+01
       30.23396    0.2718259494097308E+01
       42.70097    0.1893980054179930E+01
