        0.12062    0.6276560746971359E+03
        0.17035    0.5021343389500542E+03
        0.24060    0.3470041406201915E+03
        0.33981    0.2372875451865273E+03
        0.47993    0.1626839365161766E+03
        0.67784    0.1151418183405811E+03
        0.95734    0.8681358210163073E+02
        1.35210    0.6627933643186060E+02
        1.90965    0.5286810759091487E+02
        2.69709    0.4224519116960862E+02
        3.80924    0.3280731909808522E+02
        5.37999    0.2541503854067386E+02
        7.59843    0.1869001483925312E+02
       10.73165    0.1338225731739051E+02
       15.15686    0.8833056087731975E+01
       21.40682    0.5193824310388724E+01
       30.23396    0.3330370399623188E+01
       42.70097    0.2312541169052763E+01
