        0.12062    0.5448685223776165E+03
        0.17035    0.4112672558189558E+03
        0.24060    0.2872382918777803E+03
        0.33981    0.1943614072490694E+03
        0.47993    0.1388806114975329E+03
        0.67784    0.9721369389624152E+02
        0.95734    0.7393214404671099E+02
        1.35210    0.5673061500601814E+02
        1.90965    0.4461835267149782E+02
        2.69709    0.3586193726770512E+02
        3.80924    0.2817517722213000E+02
        5.37999    0.2174836321308267E+02
        7.59843    0.1625685394008594E+02
       10.73165    0.1168840982030219E+02
       15.15686    0.7693019823376106E+01
       21.40682    0.4687018032077819E+01
       30.23396    0.2963213329011614E+01
       42.70097    0.2110708330645621E+01
