        0.12062    0.3265068256071286E+03
        0.17035    0.2589927307642016E+03
        0.24060    0.1958593308038776E+03
        0.33981    0.1448976563811858E+03
        0.47993    0.1101966396919487E+03
        0.67784    0.8169937208939275E+02
        0.95734    0.6140568659078924E+02
        1.35210    0.4678083667789641E+02
        1.90965    0.3654661215102301E+02
        2.69709    0.2895298396193331E+02
        3.80924    0.2277374129673539E+02
        5.37999    0.1758552368404376E+02
        7.59843    0.1320589540067779E+02
       10.73165    0.9514917051001817E+01
       15.15686    0.6390021978772394E+01
       21.40682    0.4109894120322855E+01
       30.23396    0.2721763774047039E+01
       42.70097    0.1891830845395180E+01
